DEU,53.610146,9.967901
ESP,41.400504,2.183187
ITA,45.457696,9.174514
GBR,51.563738,-0.046403
NLD,52.056435,4.273273
NLD,52.022036,4.290002
DEU,50.964041,6.944913
IRL,53.347426,-6.269197
GBR,51.430536,-0.142786
BEL,50.860089,4.384983
NOR,59.909055,10.656348
NOR,59.902987,10.768926
BEL,51.465592,4.469845
GRC,36.429022,28.214799
DEU,49.286202,6.882505
ITA,41.869818,12.474763
GBR,51.52751,-0.100882
AUT,48.20857,16.385043
FRA,45.764939,4.827868
ITA,40.676764,14.489382
DEU,50.645553,6.792461
GBR,51.521144,-2.587916
GBR,53.550915,-0.659347
GBR,51.501753,-0.077924
POL,53.030439,18.065406
GBR,53.473313,-2.247394
DEU,51.434805,7.021351
DEU,50.686057,7.104274
GBR,51.508595,-0.199354
ESP,40.947987,-4.107804
BEL,50.851753,4.355757
DEU,49.007001,12.084338
ITA,40.866645,14.269342
USA,64.833369,-147.7171
ITA,45.828873,8.852889
DEU,50.867727,6.963604
USA,42.335835,-71.07736
ESP,41.394223,2.184635
DNK,55.683583,12.562676
CYP,35.031423,33.975616
FRA,43.611941,3.872941
CYP,35.104203,33.381426
MKD,42.02033,21.464925
ITA,45.467168,9.212641
ESP,37.403931,-5.982525
ESP,40.425565,-3.683376
GBR,52.768695,-1.55516
GBR,51.516199,-0.078026
GRC,36.433853,28.21532
MEX,25.800213,-100.5784
FRA,43.702133,7.256151
DEU,52.390565,9.731515
GBR,51.566063,-0.131745
RUS,55.743376,37.592179
DEU,50.106479,8.715323
ESP,37.931502,-4.67199
GRC,37.982886,23.71098
ESP,41.377231,2.170297
DEU,53.5873,9.467125
GRC,40.637794,22.941139
ESP,41.404836,2.169112
GBR,51.510931,-0.12974
ESP,40.654162,-3.339542
USA,32.74555,-117.16929
AUT,47.761179,14.619066
USA,39.227263,-76.60114
DEU,50.959208,6.918449
DEU,52.157125,7.068226
NLD,53.178628,5.426348
CAN,45.55647,-73.554175
DEU,49.842381,8.663811
DEU,49.540918,8.507462
AUT,48.203298,16.401755
GBR,52.24301,-0.895507
ESP,39.567455,2.644175
FRA,43.619768,1.475389
USA,40.701115,-74.05632
DEU,48.156957,11.593142
DEU,48.13228,11.571998
DEU,49.876546,8.660207
GBR,51.064821,0.166003
CHE,47.371164,8.540092
DEU,49.494614,8.462817
DEU,50.080782,8.634003
DEU,49.468244,8.484331
DEU,49.030275,8.33726
DEU,48.99256,8.382021
DEU,49.798432,9.91242
FRA,43.491775,-1.495614
DEU,50.713724,7.153727
BEL,50.847382,4.35329
ITA,41.858161,12.53731
DEU,48.078344,11.575634
DEU,47.944072,8.954855
DEU,48.1326,11.691775
DNK,57.015172,9.920208
DNK,55.700745,9.470752
FRA,43.27052,5.372731
DEU,49.448964,11.027403
PRT,39.024158,-8.719223
CYP,34.772326,32.425958
DEU,47.99039,7.819149
DEU,49.99291,8.281747
DEU,49.004908,8.319216
AUS,-27.4268,152.96283
DEU,53.040575,8.886068
DEU,49.388663,8.666898
FRA,43.29618,5.361284
DEU,48.132872,11.580463
ARE,25.278644,55.407878
DEU,48.138228,11.585067
DEU,50.107022,8.754218
CAN,43.697684,-79.37221
FRA,49.029429,1.152126
FRA,43.307687,5.356013
ESP,37.666429,-0.901552
NLD,51.905782,5.729198
DEU,49.877051,8.678902
ESP,41.155944,1.100887
USA,33.742425,-84.43466
DNK,56.159079,10.147283
GBR,51.518609,-0.125345
DEU,49.486266,8.462308
GRC,38.00396,23.728185
GBR,52.169355,-2.876996
GRC,35.366189,24.479357
GRC,37.033789,22.125313
DEU,50.065448,8.693546
GRC,37.983678,23.729556
GRC,37.985416,23.723741
ESP,36.716727,-4.44459
ESP,37.770891,-1.499136
ESP,39.412887,-0.384001
ESP,39.462577,-0.339832
ESP,39.501774,-0.372261
AUS,-25.839522,152.5473
ESP,38.354229,-0.504926
CYP,35.176878,33.348683
CYP,35.116413,33.036779
ESP,38.353361,-0.490973
CYP,35.164759,33.367657
CYP,34.686887,33.024153
ESP,38.365222,-0.480528
DEU,51.695617,12.278586
CYP,35.178531,33.366643
CYP,34.930151,33.628754
GRC,41.091173,23.540585
ESP,40.352858,-3.833033
USA,26.117307,-80.13787
DEU,48.740809,9.2656
GRC,39.643004,22.416121
CZE,49.204756,16.6163
CZE,49.17497,16.571421
FIN,60.331197,24.914062
NLD,52.393502,4.898783
CZE,50.045769,14.427548
DEU,50.11073,8.667233
FRA,43.608499,3.878736
DEU,53.555256,9.98279
FIN,61.624007,23.80995
DEU,50.006835,8.682163
DEU,50.110578,8.724683
AUT,48.224879,16.373614
GBR,53.972958,-1.081803
SWE,55.709344,13.195781
DEU,52.519617,13.41315
DEU,49.252098,7.012532
DNK,55.947957,9.832266
DEU,53.071272,8.890656
DEU,50.095629,8.782462
NLD,53.241364,5.546504
DEU,52.481784,13.405875
DEU,51.456217,7.013248
ITA,44.026357,12.552645
AUT,48.259787,16.3747
NOR,59.918695,10.755362
USA,40.038005,-105.2792
ITA,45.110431,10.026296
DEU,50.118206,8.693227
FRA,49.26406,4.031238
DEU,49.988743,8.251407
ESP,40.401415,-3.711814
DEU,49.470611,8.49555
NLD,52.06983,4.313375
FRA,48.855669,2.359006
FRA,48.602812,7.765773
NLD,52.37029,4.873998
DEU,48.766181,9.161935
USA,39.839465,-75.20906
DEU,50.104155,8.663718
DEU,50.10739,8.681275
MKD,41.52156,20.959874
NLD,52.061391,4.29913
DEU,50.20944,8.704651
DEU,53.051595,8.83268
NLD,51.496809,3.610992
DEU,50.113676,8.689058
GBR,50.829435,-0.140878
AUT,48.205511,16.341467
DEU,50.460459,7.730356
GBR,52.221311,0.129351
UKR,45.678239,28.630395
GBR,51.501644,-0.079363
ESP,40.429561,-3.62336
CAN,45.545418,-73.49874
GBR,51.752645,-1.249355
USA,39.753125,-86.20235
ITA,43.084324,12.334316
SRB,42.51677,22.491876
DEU,48.740472,9.184711
FRA,43.729504,7.265207
CAN,45.51092,-73.572407
CAN,45.510756,-73.51094
LTU,55.841721,23.324116
HUN,47.439465,19.032965
ESP,41.700212,2.839553
DEU,50.728648,7.098757
GBR,51.587717,-0.170873
NLD,52.093557,5.110481
DEU,49.002491,12.092829
DEU,50.003788,8.237935
GBR,51.449961,-0.14859
USA,41.907456,-87.62388
CZE,50.70231,14.782886
IRL,53.353243,-6.287899
ESP,37.18118,-3.591876
GBR,54.046494,-2.808147
SWE,57.712691,11.967698
DEU,49.485164,8.454754
GBR,54.028101,-2.790967
GBR,54.046701,-2.800899
USA,44.983593,-93.22949
DEU,51.491643,7.202588
GBR,53.994358,-2.698245
GBR,51.553509,-0.118043
GBR,53.800602,-1.733702
DEU,51.515147,7.476499
ESP,36.721126,-4.433112
FRA,48.86002,2.316552
DEU,49.879288,8.679817
ITA,41.687164,15.302655
ESP,40.488031,-3.848762
DEU,51.291551,12.391499
ITA,45.489556,9.19456
DEU,53.531578,9.969749
NLD,53.217842,6.561977
DEU,49.740174,6.646831
DEU,51.962917,11.89552
CHE,47.396107,8.044283
CHE,47.392679,8.047495
ESP,36.723494,-4.422342
ESP,36.745247,-4.427722
DEU,49.008322,8.42364
DEU,49.37387,8.654757
BEL,50.828695,4.355341
GBR,53.474439,-2.248119
DEU,48.807298,9.171104
GBR,55.856886,-4.244461
DEU,53.55414,10.118195
DEU,51.494749,7.41337
DEU,50.734105,7.097984
DEU,50.730681,7.111441
DEU,50.897707,6.953066
GBR,51.412203,-0.29485
IRL,53.058121,-9.067803
ITA,41.892987,12.482281
DEU,50.04841,8.678151
AUT,47.730094,13.826967
USA,40.706098,-73.94575
ESP,42.850696,-2.660772
DEU,51.118095,9.090731
GBR,51.510405,-0.085909
DEU,50.103464,8.682773
DEU,52.393496,10.768612
DEU,52.416639,10.788051
ITA,45.053151,9.682537
ESP,39.931084,-0.097822
USA,26.111101,-80.13687
NLD,52.153434,4.498193
NLD,52.171577,4.490416
CZE,49.425687,14.674456
USA,35.980291,-78.90641
DEU,53.079195,8.851855
ESP,40.632279,-4.007631
RUS,45.032484,39.01246
GBR,51.504627,-0.125895
USA,44.952565,-93.08768
MYS,1.463361,103.776664
GBR,51.493774,-0.130603
NLD,52.055453,4.300612
ITA,43.770916,11.259882
ITA,43.730777,11.244994
ITA,43.778765,11.254691
DEU,52.508452,13.392634
USA,44.971724,-93.26146
CZE,49.187693,16.562105
GRC,37.973554,23.742308
DEU,50.102076,8.731252
GBR,54.085313,-0.200241
GBR,57.133755,-2.092831
CYP,34.770384,32.429443
NLD,52.382108,4.896643
DEU,49.49869,8.526453
DEU,49.486101,8.509383
DEU,49.48727,8.465861
BEL,50.838787,4.360605
DEU,53.581822,9.989033
GBR,51.491693,-2.564158
ESP,41.53843,2.179462
ESP,41.533828,2.180916
GBR,51.467385,-2.620277
DEU,51.518686,8.108685
DEU,53.157182,8.2129
DEU,47.871504,7.924479
GBR,51.483135,-3.169147
FRA,48.603554,7.746252
DEU,51.459075,7.218933
FRA,44.828866,-0.571651
DEU,51.484799,7.221916
DEU,53.501303,9.811831
GBR,51.516019,-0.136091
USA,44.98296,-93.105405
GBR,52.675535,-2.445301
SGP,1.352548,103.818376
ITA,44.950218,9.680134
ITA,44.957368,9.68126
CHE,46.51172,6.635819
USA,45.354776,-92.63398
GBR,51.340067,-0.115737
DEU,48.09644,11.595095
DEU,49.395473,8.667864
ESP,41.291522,1.252059
DNK,55.846079,9.826725
DEU,49.750611,6.638521
DEU,48.136596,11.588974
DNK,55.682664,12.538019
CHE,46.511132,6.635355
DEU,51.048612,13.701647
BEL,50.851063,4.356822
ITA,45.02749,7.64167
HUN,48.095341,20.767211
NLD,52.075759,4.302004
GBR,53.523737,-1.113188
DEU,51.51415,12.008582
AUT,48.219108,16.377254
GBR,51.495814,-0.133847
ESP,41.385037,2.154933
DNK,55.662427,12.546436
FRA,50.624595,3.059209
GBR,51.548011,0.078594
FRA,46.584199,0.340921
USA,33.68963,-117.81507
DEU,50.101898,8.732475
ESP,39.57492,2.640324
GBR,55.874006,-4.281617
GBR,51.463903,-2.521886
GBR,52.455549,-1.874644
ITA,45.472368,9.187677
GBR,51.44171,-0.148798
DEU,51.056832,13.806778
FRA,43.580412,7.019715
DEU,47.686534,9.167131
DNK,56.665933,9.603919
DEU,50.794699,6.13312
GBR,51.40481,-2.587849
DEU,50.14834,8.693398
BEL,50.637334,5.580345
DEU,50.054042,8.68169
DEU,51.0768337,13.77258
GBR,55.941001,-3.156023
DEU,53.088062,8.738139
DEU,53.69118,10.27094
GBR,54.283853,-0.404227
NLD,52.399131,4.901186
GBR,52.222222,0.086577
DEU,52.426048,13.376431
DEU,50.087896,8.811655
GBR,55.864421,-4.2476
ITA,42.167815,12.562343
DNK,56.135977,10.189764
AUT,48.270264,16.359169
GRC,38.8558,21.201863
CZE,50.355525,13.809462
DEU,52.034534,11.587787
ESP,36.542471,-4.882462
ESP,38.273515,-0.712557
GBR,51.479002,-0.159318
ESP,38.022804,-0.681914
DNK,56.238978,9.479796
BEL,50.741377,3.737848
DEU,50.833637,8.785367
ESP,36.512965,-4.895446
FRA,45.764587,4.832474
FRA,45.761291,4.849091
FRA,45.764117,4.830586
FRA,45.764495,4.839749
FRA,45.747256,4.827276
DEU,51.00529,6.92891
ESP,41.401942,2.164743
SWE,57.099042,12.264353
TUR,38.412864,27.138412
DEU,50.173613,8.638168
DEU,51.951909,9.258502
TUR,39.891275,32.856432
ESP,40.958062,-4.108288
AUT,47.37941,14.517305
BEL,50.843362,4.351659
ESP,40.42534,-3.712307
GBR,51.497016,-0.12527
DEU,52.217162,8.726262
GBR,51.499619,-0.209972
ESP,42.003354,-4.531103
DEU,51.340457,12.357864
AUT,48.248824,16.376512
GBR,51.453704,-2.55109
GBR,55.863557,-4.262015
DEU,52.523362,13.386511
GBR,51.385381,-0.13742
CAN,43.671578,-79.38378
FRA,48.579555,7.748359
ITA,45.47235,9.197951
FRA,47.322081,5.068971
ESP,41.648923,-4.689612
FIN,60.174644,24.870283
POL,51.380101,21.149156
DEU,50.137253,8.683673
ESP,39.863741,-4.059238
NLD,52.328338,5.22108
USA,29.331483,-98.48092
DEU,51.540087,9.93046
NLD,51.942794,4.500972
ESP,28.473503,-16.31426
GBR,51.433479,-0.145941
GBR,51.505048,-0.002513
RUS,59.922233,30.327726
GRC,37.988859,23.728847
AUT,46.830537,14.913506
ROU,44.41828,26.015638
BEL,50.634628,4.426173
DEU,50.319453,11.855858
ESP,41.627977,-0.889286
GBR,51.482661,-0.126636
FRA,48.854433,2.323436
DEU,48.144448,11.542915
FRA,47.320826,5.038472
DEU,51.713878,8.758155
GBR,52.918334,-0.633931
ITA,45.070215,7.682315
DEU,47.704384,9.170743
DEU,49.703774,8.206049
DEU,52.464759,13.352627
AUT,48.160316,16.394574
LUX,49.700053,6.217668
FRA,46.214465,2.187169
SVK,48.904453,18.00606
FRA,45.760206,4.853604
SWE,58.939787,11.179607
ITA,41.892316,12.485543
GBR,52.974623,-1.148682
CYP,34.776533,32.432497
GBR,51.46697,-0.139221
GBR,51.392803,-0.127071
GBR,51.515317,-0.138794
FRA,45.777459,3.087373
FRA,43.293852,5.398432
SRB,42.632452,21.154484
ARE,25.054579,55.140484
AUT,47.057826,15.416437
AUT,48.0508352,14.42122
FRA,48.852132,2.342451
AUT,47.519518,14.639978
GBR,53.477101,-2.259249
DEU,49.054382,8.706658
DEU,52.53134,13.399606
CHE,47.340269,8.520355
CHE,47.368951,8.53895
DEU,52.583571,13.409574
DEU,49.189845,9.439447
DEU,48.131762,11.549565
ESP,41.421525,2.172405
GBR,51.503271,-0.135388
DEU,52.477682,13.401418
ESP,39.588918,2.65157
DEU,50.571829,7.274422
ESP,39.573285,2.652551
USA,41.865789,-87.55970
ESP,41.378984,2.165295
ESP,41.373918,2.184269
DEU,52.594582,11.8271
AUT,48.202359,16.264433
DNK,55.699568,12.545271
ITA,45.46983,9.181109
SVK,48.266508,18.106173
GBR,51.379437,-0.107526
AUT,48.198356,16.369332
GRC,37.996703,23.730311
SWE,59.334805,18.093432
DEU,52.278291,8.02399
DEU,49.791035,9.955424
DEU,48.157181,11.547618
FRA,48.857774,2.376809
DEU,49.308674,8.635102
USA,41.878373,-87.62989
DEU,50.10062,8.677274
GBR,53.750531,-0.371157
ESP,41.652124,-4.734273
CYP,34.707586,33.022597
GBR,51.505823,-0.095911
FRA,48.816328,2.352106
DEU,52.520138,13.406248
ESP,36.507816,-4.891868
NLD,52.355576,4.884186
GBR,51.539885,-0.064107
GBR,51.447032,-0.124622
DEU,47.7689,9.611797
DEU,52.52399,13.407912
DEU,52.527998,13.405022
RUS,59.940288,30.321438
AUT,48.183679,16.403789
CYP,34.915233,33.603657
CYP,34.904098,33.615898
CYP,34.927578,33.633567
DEU,50.984429,10.196178
AUT,48.143761,16.498738
ESP,39.579178,2.653022
BEL,50.927786,4.229551
DEU,48.135909,11.58976
GBR,51.517065,-0.139796
DEU,50.741118,7.094673
GBR,50.742382,-1.880738
ISR,33.0117554,35.09545
LUX,49.87127,6.129375
ESP,36.750984,-4.431417
USA,40.6989,-74.058465
ESP,38.979125,-0.685948
GBR,53.956457,-1.070552
CYP,34.697562,33.020237
GBR,51.485146,-0.124232
SWE,59.241423,18.06811
GBR,51.535785,0.077593
AUT,48.260091,16.367475
GBR,51.487512,-0.066882
DEU,50.80401,8.799137
DEU,50.794591,8.803711
USA,39.949905,-75.11611
BEL,51.295818,4.417313
MLT,35.909443,14.50416
AUT,47.036947,15.439557
DEU,51.468455,11.996684
SVN,46.2378,14.361365
