code,sum,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
SVK,55,4,8,3,5,6,4,9,6,3,7
SMR,2,0,0,0,0,0,0,1,0,0,1
STP,1,0,0,0,1,0,0,0,0,0,0
SLV,1,0,0,0,0,0,1,0,0,0,0
SYR,164,20,21,19,27,14,23,19,9,7,5
THA,22,3,2,0,3,0,2,5,2,1,4
TJK,2,0,0,1,1,0,0,0,0,0,0
TKM,1,0,0,0,0,0,1,0,0,0,0
TUN,24,3,4,2,2,0,4,3,4,0,2
TUR,24000,2489,2683,2578,2548,2620,2515,2411,2280,2169,1707
TTO,3,0,0,1,0,0,0,1,1,0,0
TWN,2,1,0,0,0,0,0,0,1,0,0
TZA,2,1,0,0,1,0,0,0,0,0,0
UKR,423,45,54,32,46,46,46,42,34,46,32
USA,6272,608,692,706,717,771,718,669,589,473,329
URY,1,0,0,0,0,1,0,0,0,0,0
UZB,7,0,0,1,0,1,1,1,2,0,1
VEN,11,0,1,1,1,3,0,2,1,2,0
VNM,15,2,2,2,2,1,2,1,0,2,1
YEM,7,0,3,2,0,1,1,0,0,0,0
ZAF,362,48,52,52,41,37,37,34,27,21,13
ZWE,4,1,0,0,1,0,1,0,0,0,1
